forecast_date,target,target_end_date,location,type,quantile,value
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.025,271388
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.025,302361
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.025,329768
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.025,338157
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.025,329658
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.025,314866
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.025,287476
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.025,245121
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.1,317338
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.1,368935
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.1,370161
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.1,357373
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.1,336742
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.1,315200
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.1,289110
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.1,255166
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.25,364532
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.25,462955
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.25,435015
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.25,397775
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.25,357800
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.25,315559
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.25,301050
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.25,282451
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.5,411257
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.5,500086
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.5,522836
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.5,503606
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.5,474625
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.5,440716
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.5,412380
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.5,377248
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.75,451509
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.75,537417
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.75,563987
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.75,567540
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.75,557527
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.75,526232
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.75,495925
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.75,459681
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.9,472435
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.9,566227
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.9,592386
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.9,589328
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.9,564045
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.9,542220
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.9,516740
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.9,484611
8/1/2021,1 wk ahead inc case,8/7/2021,US,quantile,0.975,472578
8/1/2021,2 wk ahead inc case,8/14/2021,US,quantile,0.975,576820
8/1/2021,3 wk ahead inc case,8/21/2021,US,quantile,0.975,592398
8/1/2021,4 wk ahead inc case,8/28/2021,US,quantile,0.975,594794
8/1/2021,5 wk ahead inc case,9/4/2021,US,quantile,0.975,570197
8/1/2021,6 wk ahead inc case,9/11/2021,US,quantile,0.975,544192
8/1/2021,7 wk ahead inc case,9/18/2021,US,quantile,0.975,517442
8/1/2021,8 wk ahead inc case,9/25/2021,US,quantile,0.975,489459
8/1/2021,1 wk ahead inc case,8/7/2021,US,point,NA,394434
8/1/2021,2 wk ahead inc case,8/14/2021,US,point,NA,473543
8/1/2021,3 wk ahead inc case,8/21/2021,US,point,NA,486650
8/1/2021,4 wk ahead inc case,8/28/2021,US,point,NA,478368
8/1/2021,5 wk ahead inc case,9/4/2021,US,point,NA,455799
8/1/2021,6 wk ahead inc case,9/11/2021,US,point,NA,428426
8/1/2021,7 wk ahead inc case,9/18/2021,US,point,NA,402875
8/1/2021,8 wk ahead inc case,9/25/2021,US,point,NA,370534
