forecast_date,target,target_end_date,location,type,quantile,value
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.025,475507
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.025,445795
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.025,420339
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.025,398771
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.025,381869
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.025,367219
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.025,352996
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.025,342029
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.1,486929
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.1,465165
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.1,442539
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.1,418121
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.1,395625
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.1,375355
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.1,356384
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.1,344395
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.25,647885
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.25,755386
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.25,668855
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.25,601975
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.25,539539
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.25,479073
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.25,424558
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.25,348378
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.5,751231
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.5,804599
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.5,804129
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.5,728611
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.5,655780
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.5,590445
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.5,533250
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.5,472252
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.75,802413
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.75,898613
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.75,880451
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.75,856731
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.75,831236
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.75,792731
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.75,740295
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.75,694069
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.9,1685532
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.9,1939050
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.9,1585942
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.9,1322834
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.9,1115983
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.9,955946
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.9,836897
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.9,761825
11/14/2021,1 wk ahead inc case,11/20/2021,US,quantile,0.975,2553024
11/14/2021,2 wk ahead inc case,11/27/2021,US,quantile,0.975,2919816
11/14/2021,3 wk ahead inc case,12/4/2021,US,quantile,0.975,2224207
11/14/2021,4 wk ahead inc case,12/11/2021,US,quantile,0.975,1744241
11/14/2021,5 wk ahead inc case,12/18/2021,US,quantile,0.975,1384537
11/14/2021,6 wk ahead inc case,12/25/2021,US,quantile,0.975,1104548
11/14/2021,7 wk ahead inc case,1/1/2022,US,quantile,0.975,893754
11/14/2021,8 wk ahead inc case,1/8/2022,US,quantile,0.975,772287
11/14/2021,1 wk ahead inc case,11/20/2021,US,point,NA,1057503
11/14/2021,2 wk ahead inc case,11/27/2021,US,point,NA,1175489
11/14/2021,3 wk ahead inc case,12/4/2021,US,point,NA,1003780
11/14/2021,4 wk ahead inc case,12/11/2021,US,point,NA,867326
11/14/2021,5 wk ahead inc case,12/18/2021,US,point,NA,757796
11/14/2021,6 wk ahead inc case,12/25/2021,US,point,NA,666474
11/14/2021,7 wk ahead inc case,1/1/2022,US,point,NA,591162
11/14/2021,8 wk ahead inc case,1/8/2022,US,point,NA,533605
