forecast_date,target,target_end_date,location,type,quantile,value
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.025,933544
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.025,965847
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.025,955145
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.025,905743
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.025,765719
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.025,770599
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.025,684660
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.025,541059
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.1,935028
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.1,975088
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.1,960558
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.1,912400
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.1,800585
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.1,779633
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.1,698289
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.1,597087
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.25,939359
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.25,997287
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.25,1009841
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.25,976927
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.25,922873
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.25,845606
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.25,756739
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.25,653201
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.5,987754
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.5,1040933
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.5,1068363
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.5,1026795
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.5,954367
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.5,885771
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.5,823881
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.5,741086
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.75,1067414
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.75,1100632
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.75,1127399
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.75,1057056
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.75,984945
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.75,912648
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.75,840887
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.75,767825
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.9,1112123
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.9,1171630
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.9,1161114
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.9,1125736
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.9,1056230
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.9,981397
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.9,916667
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.9,864030
8/15/2021,1 wk ahead inc case,8/21/2021,US,quantile,0.975,1124399
8/15/2021,2 wk ahead inc case,8/28/2021,US,quantile,0.975,1189146
8/15/2021,3 wk ahead inc case,9/4/2021,US,quantile,0.975,1186081
8/15/2021,4 wk ahead inc case,9/11/2021,US,quantile,0.975,1129760
8/15/2021,5 wk ahead inc case,9/18/2021,US,quantile,0.975,1088408
8/15/2021,6 wk ahead inc case,9/25/2021,US,quantile,0.975,1032679
8/15/2021,7 wk ahead inc case,10/2/2021,US,quantile,0.975,970428
8/15/2021,8 wk ahead inc case,10/9/2021,US,quantile,0.975,917551
8/15/2021,1 wk ahead inc case,8/21/2021,US,point,NA,1014232
8/15/2021,2 wk ahead inc case,8/28/2021,US,point,NA,1062938
8/15/2021,3 wk ahead inc case,9/4/2021,US,point,NA,1066929
8/15/2021,4 wk ahead inc case,9/11/2021,US,point,NA,1019202
8/15/2021,5 wk ahead inc case,9/18/2021,US,point,NA,939018
8/15/2021,6 wk ahead inc case,9/25/2021,US,point,NA,886905
8/15/2021,7 wk ahead inc case,10/2/2021,US,point,NA,813079
8/15/2021,8 wk ahead inc case,10/9/2021,US,point,NA,725977
