forecast_date,target,target_end_date,location,type,quantile,value
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.025,972105
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.025,951587
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.025,938941
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.025,884796
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.025,822956
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.025,766810
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.025,713500
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.025,621273
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.1,992042
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.1,980880
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.1,977020
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.1,927747
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.1,851727
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.1,779454
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.1,714694
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.1,646536
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.25,1088229
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.25,1088901
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.25,1065360
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.25,975003
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.25,909946
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.25,849706
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.25,791130
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.25,737252
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.5,1138424
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.5,1189044
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.5,1210420
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.5,1161639
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.5,1079632
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.5,998072
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.5,919135
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.5,825129
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.75,1153918
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.75,1205569
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.75,1224426
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.75,1166724
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.75,1098921
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.75,1029025
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.75,962100
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.75,889320
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.9,1232568
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.9,1289933
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.9,1306996
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.9,1264308
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.9,1200966
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.9,1128265
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.9,1058966
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.9,974808
8/29/2021,1 wk ahead inc case,9/4/2021,US,quantile,0.975,1244190
8/29/2021,2 wk ahead inc case,9/11/2021,US,quantile,0.975,1328398
8/29/2021,3 wk ahead inc case,9/18/2021,US,quantile,0.975,1367584
8/29/2021,4 wk ahead inc case,9/25/2021,US,quantile,0.975,1335676
8/29/2021,5 wk ahead inc case,10/2/2021,US,quantile,0.975,1269734
8/29/2021,6 wk ahead inc case,10/9/2021,US,quantile,0.975,1194542
8/29/2021,7 wk ahead inc case,10/16/2021,US,quantile,0.975,1122520
8/29/2021,8 wk ahead inc case,10/23/2021,US,quantile,0.975,1035809
8/29/2021,1 wk ahead inc case,9/4/2021,US,point,NA,1117354
8/29/2021,2 wk ahead inc case,9/11/2021,US,point,NA,1147759
8/29/2021,3 wk ahead inc case,9/18/2021,US,point,NA,1155821
8/29/2021,4 wk ahead inc case,9/25/2021,US,point,NA,1102270
8/29/2021,5 wk ahead inc case,10/2/2021,US,point,NA,1033411
8/29/2021,6 wk ahead inc case,10/9/2021,US,point,NA,963696
8/29/2021,7 wk ahead inc case,10/16/2021,US,point,NA,897435
8/29/2021,8 wk ahead inc case,10/23/2021,US,point,NA,818589
