forecast_date,target,target_end_date,location,type,quantile,value
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.025,1439970
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.025,1494834
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.025,1543640
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.025,1579804
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.025,1591379
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.025,1505162
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.025,1429302
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.025,1366733
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.1,1443932
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.1,1498648
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.1,1545472
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.1,1584450
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.1,1593268
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.1,1514104
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.1,1433368
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.1,1369951
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.25,1449581
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.25,1505888
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.25,1551710
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.25,1590008
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.25,1601947
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.25,1538646
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.25,1453118
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.25,1383529
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.5,1459024
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.5,1515628
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.5,1558826
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.5,1596686
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.5,1611164
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.5,1548198
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.5,1465996
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.5,1399717
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.75,1466813
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.75,1521255
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.75,1561510
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.75,1611812
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.75,1618693
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.75,1556680
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.75,1472325
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.75,1409947
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.9,1502398
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.9,1530244
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.9,1590655
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.9,1632458
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.9,1629849
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.9,1567200
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.9,1484121
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.9,1414434
12/20/2020,1 wk ahead inc case,12/26/2020,US,quantile,0.975,1534500
12/20/2020,2 wk ahead inc case,1/2/2020,US,quantile,0.975,1536116
12/20/2020,3 wk ahead inc case,1/8/2019,US,quantile,0.975,1594792
12/20/2020,4 wk ahead inc case,1/14/2018,US,quantile,0.975,1633318
12/20/2020,5 wk ahead inc case,1/20/2017,US,quantile,0.975,1631995
12/20/2020,6 wk ahead inc case,1/27/2016,US,quantile,0.975,1567326
12/20/2020,7 wk ahead inc case,2/2/2015,US,quantile,0.975,1485837
12/20/2020,8 wk ahead inc case,2/8/2014,US,quantile,0.975,1417862
12/20/2020,1 wk ahead inc case,12/26/2020,US,point,NA,1470888
12/20/2020,2 wk ahead inc case,1/2/2020,US,point,NA,1514659
12/20/2020,3 wk ahead inc case,1/8/2019,US,point,NA,1563801
12/20/2020,4 wk ahead inc case,1/14/2018,US,point,NA,1604077
12/20/2020,5 wk ahead inc case,1/20/2017,US,point,NA,1611185
12/20/2020,6 wk ahead inc case,1/27/2016,US,point,NA,1542474
12/20/2020,7 wk ahead inc case,2/2/2015,US,point,NA,1460581
12/20/2020,8 wk ahead inc case,2/8/2014,US,point,NA,1394596
