forecast_date,target,target_end_date,location,type,quantile,value
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.025,156088
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.025,129871
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.025,127585
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.025,117617
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.025,94859
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.025,36070
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.025,0
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.025,0
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.1,172874
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.1,146805
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.1,141353
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.1,129469
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.1,101031
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.1,68312
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.1,36916
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.1,0
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.25,192926
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.25,179393
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.25,166390
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.25,153805
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.25,120030
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.25,102798
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.25,96459
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.25,93054
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.5,210663
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.5,211273
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.5,206388
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.5,167572
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.5,158547
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.5,156710
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.5,154776
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.5,142783
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.75,247061
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.75,264331
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.75,257615
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.75,259446
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.75,236210
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.75,207392
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.75,183271
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.75,163836
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.9,371537
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.9,341428
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.9,318051
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.9,307179
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.9,284832
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.9,255459
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.9,229296
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.9,196612
4/24/2022,1 wk ahead inc case,4/30/2022,US,quantile,0.975,457082
4/24/2022,2 wk ahead inc case,5/7/2022,US,quantile,0.975,353187
4/24/2022,3 wk ahead inc case,5/14/2022,US,quantile,0.975,363521
4/24/2022,4 wk ahead inc case,5/21/2022,US,quantile,0.975,353972
4/24/2022,5 wk ahead inc case,5/28/2022,US,quantile,0.975,323196
4/24/2022,6 wk ahead inc case,6/4/2022,US,quantile,0.975,282725
4/24/2022,7 wk ahead inc case,6/11/2022,US,quantile,0.975,248241
4/24/2022,8 wk ahead inc case,6/18/2022,US,quantile,0.975,208678
4/24/2022,1 wk ahead inc case,4/30/2022,US,point,NA,258319
4/24/2022,2 wk ahead inc case,5/7/2022,US,point,NA,232327
4/24/2022,3 wk ahead inc case,5/14/2022,US,point,NA,225843
4/24/2022,4 wk ahead inc case,5/21/2022,US,point,NA,212723
4/24/2022,5 wk ahead inc case,5/28/2022,US,point,NA,188386
4/24/2022,6 wk ahead inc case,6/4/2022,US,point,NA,158495
4/24/2022,7 wk ahead inc case,6/11/2022,US,point,NA,133688
4/24/2022,8 wk ahead inc case,6/18/2022,US,point,NA,99969
