forecast_date,target,target_end_date,location,type,quantile,value
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.025,207926
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.025,125810
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.025,89847
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.025,24502
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.025,0
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.025,0
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.025,0
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.025,0
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.1,238531
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.1,148623
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.1,94335
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.1,26661
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.1,0
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.1,0
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.1,0
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.1,0
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.25,270338
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.25,190953
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.25,110756
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.25,46072
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.25,0
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.25,0
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.25,0
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.25,0
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.5,318150
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.5,230571
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.5,169513
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.5,114285
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.5,70332
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.5,23320
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.5,0
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.5,0
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.75,346946
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.75,303280
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.75,264336
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.75,215459
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.75,160616
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.75,114559
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.75,71306
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.75,35488
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.9,418716
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.9,363638
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.9,330851
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.9,290929
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.9,249493
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.9,214098
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.9,184966
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.9,157267
2/27/2022,1 wk ahead inc case,3/5/2022,US,quantile,0.975,469357
2/27/2022,2 wk ahead inc case,3/12/2022,US,quantile,0.975,423087
2/27/2022,3 wk ahead inc case,3/19/2022,US,quantile,0.975,380335
2/27/2022,4 wk ahead inc case,3/26/2022,US,quantile,0.975,328884
2/27/2022,5 wk ahead inc case,4/2/2022,US,quantile,0.975,273759
2/27/2022,6 wk ahead inc case,4/9/2022,US,quantile,0.975,224969
2/27/2022,7 wk ahead inc case,4/16/2022,US,quantile,0.975,185240
2/27/2022,8 wk ahead inc case,4/23/2022,US,quantile,0.975,174669
2/27/2022,1 wk ahead inc case,3/5/2022,US,point,NA,324281
2/27/2022,2 wk ahead inc case,3/12/2022,US,point,NA,255137
2/27/2022,3 wk ahead inc case,3/19/2022,US,point,NA,205710
2/27/2022,4 wk ahead inc case,3/26/2022,US,point,NA,149542
2/27/2022,5 wk ahead inc case,4/2/2022,US,point,NA,94293
2/27/2022,6 wk ahead inc case,4/9/2022,US,point,NA,44945
2/27/2022,7 wk ahead inc case,4/16/2022,US,point,NA,1013
2/27/2022,8 wk ahead inc case,4/23/2022,US,point,NA,0
