forecast_date,target,target_end_date,location,type,quantile,value
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.025,296360
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.025,264361
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.025,232820
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.025,206773
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.025,187105
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.025,173049
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.025,162646
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.025,156954
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.1,297527
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.1,264955
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.1,236736
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.1,214474
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.1,198024
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.1,184849
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.1,174400
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.1,167990
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.25,306144
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.25,273934
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.25,257919
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.25,248435
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.25,242226
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.25,234244
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.25,225999
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.25,217642
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.5,323414
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.5,303101
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.5,286103
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.5,273358
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.5,261926
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.5,251757
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.5,241936
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.5,241988
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.75,328549
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.75,312414
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.75,300061
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.75,290233
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.75,282614
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.75,276335
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.75,270291
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.75,265576
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.9,332619
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.9,321484
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.9,311190
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.9,303050
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.9,295238
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.9,288635
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.9,282583
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.9,276669
5/2/2021,1 wk ahead inc case,5/8/2021,US,quantile,0.975,333572
5/2/2021,2 wk ahead inc case,5/15/2021,US,quantile,0.975,323598
5/2/2021,3 wk ahead inc case,5/22/2021,US,quantile,0.975,313613
5/2/2021,4 wk ahead inc case,5/29/2021,US,quantile,0.975,305587
5/2/2021,5 wk ahead inc case,6/5/2021,US,quantile,0.975,297538
5/2/2021,6 wk ahead inc case,6/12/2021,US,quantile,0.975,290654
5/2/2021,7 wk ahead inc case,6/19/2021,US,quantile,0.975,284389
5/2/2021,8 wk ahead inc case,6/26/2021,US,quantile,0.975,277987
5/2/2021,1 wk ahead inc case,5/8/2021,US,point,NA,316884
5/2/2021,2 wk ahead inc case,5/15/2021,US,point,NA,294835
5/2/2021,3 wk ahead inc case,5/22/2021,US,point,NA,276920
5/2/2021,4 wk ahead inc case,5/29/2021,US,point,NA,263130
5/2/2021,5 wk ahead inc case,6/5/2021,US,point,NA,252096
5/2/2021,6 wk ahead inc case,6/12/2021,US,point,NA,242789
5/2/2021,7 wk ahead inc case,6/19/2021,US,point,NA,234606
5/2/2021,8 wk ahead inc case,6/26/2021,US,point,NA,229258
