forecast_date,target,target_end_date,location,type,quantile,value
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.025,563403
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.025,473079
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.025,410210
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.025,358580
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.025,321018
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.025,284661
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.025,248430
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.025,242730
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.1,594258
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.1,521325
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.1,467939
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.1,423624
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.1,388753
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.1,357437
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.1,325463
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.1,295807
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.25,644253
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.25,610153
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.25,565788
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.25,526044
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.25,486578
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.25,451164
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.25,404961
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.25,386767
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.5,673585
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.5,643782
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.5,606290
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.5,568711
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.5,514644
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.5,464921
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.5,424353
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.5,394768
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.75,771733
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.75,741096
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.75,699712
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.75,684884
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.75,658373
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.75,630027
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.75,597097
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.75,561895
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.9,950687
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.9,1022940
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.9,965863
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.9,887668
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.9,814461
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.9,753772
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.9,686082
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.9,627151
8/7/2022,1 wk ahead inc case,8/13/2022,US,quantile,0.975,1069614
8/7/2022,2 wk ahead inc case,8/20/2022,US,quantile,0.975,1190678
8/7/2022,3 wk ahead inc case,8/27/2022,US,quantile,0.975,1118949
8/7/2022,4 wk ahead inc case,9/3/2022,US,quantile,0.975,1016944
8/7/2022,5 wk ahead inc case,9/10/2022,US,quantile,0.975,924458
8/7/2022,6 wk ahead inc case,9/17/2022,US,quantile,0.975,849512
8/7/2022,7 wk ahead inc case,9/24/2022,US,quantile,0.975,759136
8/7/2022,8 wk ahead inc case,10/1/2022,US,quantile,0.975,688566
8/7/2022,1 wk ahead inc case,8/13/2022,US,point,NA,752505
8/7/2022,2 wk ahead inc case,8/20/2022,US,point,NA,743293
8/7/2022,3 wk ahead inc case,8/27/2022,US,point,NA,690679
8/7/2022,4 wk ahead inc case,9/3/2022,US,point,NA,638065
8/7/2022,5 wk ahead inc case,9/10/2022,US,point,NA,586898
8/7/2022,6 wk ahead inc case,9/17/2022,US,point,NA,541642
8/7/2022,7 wk ahead inc case,9/24/2022,US,point,NA,492218
8/7/2022,8 wk ahead inc case,10/1/2022,US,point,NA,456812
