forecast_date,target,target_end_date,location,type,quantile,value
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.025,291009
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.025,193437
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.025,121588
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.025,57427
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.025,0
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.025,0
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.025,0
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.025,0
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.1,323088
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.1,249273
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.1,190458
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.1,140503
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.1,90672
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.1,45058
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.1,5156
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.1,0
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.25,359184
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.25,311404
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.25,271586
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.25,234809
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.25,191187
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.25,165008
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.25,142380
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.25,119573
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.5,394657
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.5,367756
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.5,321766
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.5,293825
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.5,267207
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.5,245501
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.5,223544
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.5,200874
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.75,449844
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.75,443803
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.75,399858
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.75,354423
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.75,310932
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.75,288662
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.75,260002
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.75,229321
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.9,520878
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.9,607382
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.9,620976
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.9,606181
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.9,572967
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.9,539943
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.9,502240
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.9,469447
9/18/2022,1 wk ahead inc case,9/24/2022,US,quantile,0.975,591015
9/18/2022,2 wk ahead inc case,10/1/2022,US,quantile,0.975,724787
9/18/2022,3 wk ahead inc case,10/8/2022,US,quantile,0.975,763630
9/18/2022,4 wk ahead inc case,10/15/2022,US,quantile,0.975,760474
9/18/2022,5 wk ahead inc case,10/22/2022,US,quantile,0.975,729257
9/18/2022,6 wk ahead inc case,10/29/2022,US,quantile,0.975,699832
9/18/2022,7 wk ahead inc case,11/5/2022,US,quantile,0.975,663761
9/18/2022,8 wk ahead inc case,11/12/2022,US,quantile,0.975,628798
9/18/2022,1 wk ahead inc case,9/24/2022,US,point,NA,418525
9/18/2022,2 wk ahead inc case,10/1/2022,US,point,NA,413977
9/18/2022,3 wk ahead inc case,10/8/2022,US,point,NA,384266
9/18/2022,4 wk ahead inc case,10/15/2022,US,point,NA,349663
9/18/2022,5 wk ahead inc case,10/22/2022,US,point,NA,308478
9/18/2022,6 wk ahead inc case,10/29/2022,US,point,NA,275517
9/18/2022,7 wk ahead inc case,11/5/2022,US,point,NA,242009
9/18/2022,8 wk ahead inc case,11/12/2022,US,point,NA,211718
