forecast_date,target,target_end_date,location,type,quantile,value
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.025,61366
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.025,45954
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.025,33586
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.025,24048
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.025,17018
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.025,7712
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.025,928
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.025,0
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.1,61376
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.1,46220
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.1,34100
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.1,24634
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.1,17114
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.1,8912
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.1,1808
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.1,0
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.25,62282
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.25,49337
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.25,38817
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.25,28428
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.25,17985
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.25,10493
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.25,5982
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.25,3773
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.5,64524
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.5,51470
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.5,40295
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.5,32336
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.5,26293
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.5,20655
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.5,13538
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.5,10895
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.75,67744
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.75,58625
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.75,49874
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.75,42171
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.75,34854
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.75,25688
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.75,23133
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.75,19324
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.9,69559
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.9,60743
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.9,53493
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.9,46842
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.9,40178
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.9,34358
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.9,29154
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.9,25691
7/4/2021,1 wk ahead inc case,7/10/2021,US,quantile,0.975,70574
7/4/2021,2 wk ahead inc case,7/17/2021,US,quantile,0.975,62786
7/4/2021,3 wk ahead inc case,7/24/2021,US,quantile,0.975,56128
7/4/2021,4 wk ahead inc case,7/31/2021,US,quantile,0.975,50372
7/4/2021,5 wk ahead inc case,8/7/2021,US,quantile,0.975,45018
7/4/2021,6 wk ahead inc case,8/14/2021,US,quantile,0.975,39196
7/4/2021,7 wk ahead inc case,8/21/2021,US,quantile,0.975,34221
7/4/2021,8 wk ahead inc case,8/28/2021,US,quantile,0.975,28709
7/4/2021,1 wk ahead inc case,7/10/2021,US,point,NA,65346
7/4/2021,2 wk ahead inc case,7/17/2021,US,point,NA,53591
7/4/2021,3 wk ahead inc case,7/24/2021,US,point,NA,43756
7/4/2021,4 wk ahead inc case,7/31/2021,US,point,NA,35547
7/4/2021,5 wk ahead inc case,8/7/2021,US,point,NA,28351
7/4/2021,6 wk ahead inc case,8/14/2021,US,point,NA,21002
7/4/2021,7 wk ahead inc case,8/21/2021,US,point,NA,15538
7/4/2021,8 wk ahead inc case,8/28/2021,US,point,NA,11192
