forecast_date,target,target_end_date,location,type,quantile,value
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.025,1171926
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.025,791518
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.025,501087
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.025,290814
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.025,116276
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.025,0
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.025,0
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.025,0
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.1,1197318
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.1,812015
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.1,517809
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.1,295780
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.1,121128
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.1,0
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.1,0
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.1,0
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.25,1275383
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.25,855015
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.25,636443
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.25,476542
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.25,348786
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.25,248433
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.25,166639
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.25,93019
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.5,1415847
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.5,1145447
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.5,953392
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.5,825215
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.5,726779
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.5,648363
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.5,587222
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.5,506792
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.75,1448797
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.75,1196298
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.75,1036249
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.75,917984
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.75,815357
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.75,750202
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.75,710218
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.75,657150
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.9,1694426
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.9,1534947
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.9,1417896
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.9,1326190
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.9,1248974
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.9,1185813
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.9,1132720
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.9,1032697
2/6/2022,1 wk ahead inc case,2/12/2022,US,quantile,0.975,1711433
2/6/2022,2 wk ahead inc case,2/19/2022,US,quantile,0.975,1557516
2/6/2022,3 wk ahead inc case,2/26/2022,US,quantile,0.975,1442069
2/6/2022,4 wk ahead inc case,3/5/2022,US,quantile,0.975,1349079
2/6/2022,5 wk ahead inc case,3/12/2022,US,quantile,0.975,1269583
2/6/2022,6 wk ahead inc case,3/19/2022,US,quantile,0.975,1202560
2/6/2022,7 wk ahead inc case,3/26/2022,US,quantile,0.975,1145393
2/6/2022,8 wk ahead inc case,4/2/2022,US,quantile,0.975,1039323
2/6/2022,1 wk ahead inc case,2/12/2022,US,point,NA,1416447
2/6/2022,2 wk ahead inc case,2/19/2022,US,point,NA,1127536
2/6/2022,3 wk ahead inc case,2/26/2022,US,point,NA,929278
2/6/2022,4 wk ahead inc case,3/5/2022,US,point,NA,783086
2/6/2022,5 wk ahead inc case,3/12/2022,US,point,NA,663841
2/6/2022,6 wk ahead inc case,3/19/2022,US,point,NA,570066
2/6/2022,7 wk ahead inc case,3/26/2022,US,point,NA,495344
2/6/2022,8 wk ahead inc case,4/2/2022,US,point,NA,405824
,,,,,,~
