forecast_date,target,target_end_date,location,type,quantile,value
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.025,1129137
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.025,1030358
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.025,955185
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.025,889428
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.025,814926
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.025,746459
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.025,690064
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.025,625467
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.1,1129311
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.1,1032962
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.1,957095
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.1,889747
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.1,822919
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.1,760305
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.1,702111
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.1,631712
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.25,1155265
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.25,1064662
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.25,972828
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.25,894783
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.25,839470
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.25,776781
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.25,716000
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.25,650454
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.5,1172748
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.5,1095326
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.5,1011562
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.5,929336
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.5,858134
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.5,796756
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.5,733203
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.5,681558
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.75,1197766
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.75,1119702
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.75,1036944
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.75,947290
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.75,871359
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.75,806491
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.75,759307
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.75,715148
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.9,1200311
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.9,1147391
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.9,1084009
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.9,1016398
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.9,960109
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.9,896199
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.9,846448
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.9,786459
1/24/2021,1 wk ahead inc case,1/30/2021,US,quantile,0.975,1201982
1/24/2021,2 wk ahead inc case,2/6/2021,US,quantile,0.975,1165970
1/24/2021,3 wk ahead inc case,2/13/2021,US,quantile,0.975,1127071
1/24/2021,4 wk ahead inc case,2/20/2021,US,quantile,0.975,1064831
1/24/2021,5 wk ahead inc case,2/27/2021,US,quantile,0.975,1003721
1/24/2021,6 wk ahead inc case,3/6/2021,US,quantile,0.975,937492
1/24/2021,7 wk ahead inc case,3/13/2021,US,quantile,0.975,881619
1/24/2021,8 wk ahead inc case,3/20/2021,US,quantile,0.975,810407
1/24/2021,1 wk ahead inc case,1/30/2021,US,point,NA,1169503
1/24/2021,2 wk ahead inc case,2/6/2021,US,point,NA,1093767
1/24/2021,3 wk ahead inc case,2/13/2021,US,point,NA,1020671
1/24/2021,4 wk ahead inc case,2/20/2021,US,point,NA,947402
1/24/2021,5 wk ahead inc case,2/27/2021,US,point,NA,881520
1/24/2021,6 wk ahead inc case,3/6/2021,US,point,NA,817212
1/24/2021,7 wk ahead inc case,3/13/2021,US,point,NA,761250
1/24/2021,8 wk ahead inc case,3/20/2021,US,point,NA,700172
