forecast_date,target,target_end_date,location,type,quantile,value
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.025,339205
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.025,304824
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.025,273166
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.025,246297
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.025,225607
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.025,206096
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.025,187358
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.025,173595
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.1,341392
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.1,309016
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.1,280252
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.1,254333
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.1,231421
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.1,212594
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.1,195879
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.1,182646
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.25,342323
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.25,310473
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.25,282564
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.25,258481
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.25,237471
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.25,219226
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.25,202844
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.25,189494
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.5,343673
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.5,312935
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.5,287049
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.5,263256
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.5,243134
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.5,224105
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.5,207578
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.5,195523
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.75,345244
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.75,315966
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.75,292581
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.75,269551
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.75,249473
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.75,231346
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.75,214916
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.75,203099
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.9,347899
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.9,320925
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.9,296896
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.9,275426
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.9,255002
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.9,237841
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.9,222461
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.9,212502
3/21/2021,1 wk ahead inc case,3/27/2021,US,quantile,0.975,350670
3/21/2021,2 wk ahead inc case,4/3/2021,US,quantile,0.975,324324
3/21/2021,3 wk ahead inc case,4/10/2021,US,quantile,0.975,300766
3/21/2021,4 wk ahead inc case,4/17/2021,US,quantile,0.975,280263
3/21/2021,5 wk ahead inc case,4/24/2021,US,quantile,0.975,261111
3/21/2021,6 wk ahead inc case,5/1/2021,US,quantile,0.975,245455
3/21/2021,7 wk ahead inc case,5/8/2021,US,quantile,0.975,229777
3/21/2021,8 wk ahead inc case,5/15/2021,US,quantile,0.975,217104
3/21/2021,1 wk ahead inc case,3/27/2021,US,point,NA,344344
3/21/2021,2 wk ahead inc case,4/3/2021,US,point,NA,314066
3/21/2021,3 wk ahead inc case,4/10/2021,US,point,NA,287611
3/21/2021,4 wk ahead inc case,4/17/2021,US,point,NA,263944
3/21/2021,5 wk ahead inc case,4/24/2021,US,point,NA,243317
3/21/2021,6 wk ahead inc case,5/1/2021,US,point,NA,225238
3/21/2021,7 wk ahead inc case,5/8/2021,US,point,NA,208687
3/21/2021,8 wk ahead inc case,5/15/2021,US,point,NA,196280
