forecast_date,target,target_end_date,location,type,quantile,value
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.025,3992180
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.025,3571069
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.025,3225830
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.025,2935895
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.025,2666731
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.025,2350667
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.025,2063887
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.025,1688227
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.1,4012383
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.1,3582064
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.1,3247595
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.1,2941839
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.1,2667929
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.1,2389296
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.1,2143375
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.1,1849954
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.25,4070053
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.25,3647668
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.25,3274870
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.25,2973291
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.25,2686207
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.25,2432264
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.25,2226974
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.25,2026770
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.5,4358673
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.5,4002670
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.5,3712156
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.5,3427958
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.5,3152584
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.5,2920163
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.5,2707631
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.5,2391564
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.75,4489191
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.75,4139188
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.75,3794597
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.75,3594134
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.75,3295552
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.75,2994864
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.75,2796496
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.75,2550929
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.9,4517134
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.9,4290922
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.9,4020997
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.9,3744164
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.9,3500640
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.9,3294263
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.9,3111395
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.9,3026337
1/23/2022,1 wk ahead inc case,1/29/2022,US,quantile,0.975,4533459
1/23/2022,2 wk ahead inc case,2/5/2022,US,quantile,0.975,4309342
1/23/2022,3 wk ahead inc case,2/12/2022,US,quantile,0.975,4090449
1/23/2022,4 wk ahead inc case,2/19/2022,US,quantile,0.975,3870883
1/23/2022,5 wk ahead inc case,2/26/2022,US,quantile,0.975,3670417
1/23/2022,6 wk ahead inc case,3/5/2022,US,quantile,0.975,3498329
1/23/2022,7 wk ahead inc case,3/12/2022,US,quantile,0.975,3330486
1/23/2022,8 wk ahead inc case,3/19/2022,US,quantile,0.975,3132031
1/23/2022,1 wk ahead inc case,1/29/2022,US,point,NA,4281868
1/23/2022,2 wk ahead inc case,2/5/2022,US,point,NA,3934703
1/23/2022,3 wk ahead inc case,2/12/2022,US,point,NA,3623785
1/23/2022,4 wk ahead inc case,2/19/2022,US,point,NA,3355452
1/23/2022,5 wk ahead inc case,2/26/2022,US,point,NA,3091437
1/23/2022,6 wk ahead inc case,3/5/2022,US,point,NA,2839978
1/23/2022,7 wk ahead inc case,3/12/2022,US,point,NA,2625749
1/23/2022,8 wk ahead inc case,3/19/2022,US,point,NA,2380830
