forecast_date,target,target_end_date,location,type,quantile,value
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.025,231935
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.025,237893
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.025,231675
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.025,216383
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.025,196055
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.025,177910
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.025,155931
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.025,141220
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.1,233331
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.1,237993
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.1,231752
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.1,219868
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.1,201230
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.1,182345
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.1,160450
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.1,146386
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.25,239238
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.25,261254
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.25,250553
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.25,230549
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.25,210565
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.25,200375
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.25,178568
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.25,167295
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.5,282444
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.5,320096
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.5,321116
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.5,322101
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.5,308123
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.5,271704
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.5,233837
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.5,200157
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.75,387990
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.75,503070
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.75,526415
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.75,509380
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.75,474942
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.75,380778
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.75,364740
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.75,360943
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.9,590364
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.9,773157
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.9,750610
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.9,681887
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.9,612759
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.9,576766
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.9,537762
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.9,499066
10/23/2022,1 wk ahead inc case,10/29/2022,US,quantile,0.975,632400
10/23/2022,2 wk ahead inc case,11/5/2022,US,quantile,0.975,780517
10/23/2022,3 wk ahead inc case,11/12/2022,US,quantile,0.975,803224
10/23/2022,4 wk ahead inc case,11/19/2022,US,quantile,0.975,784469
10/23/2022,5 wk ahead inc case,11/26/2022,US,quantile,0.975,744085
10/23/2022,6 wk ahead inc case,12/3/2022,US,quantile,0.975,698553
10/23/2022,7 wk ahead inc case,12/10/2022,US,quantile,0.975,649595
10/23/2022,8 wk ahead inc case,12/17/2022,US,quantile,0.975,601654
10/23/2022,1 wk ahead inc case,10/29/2022,US,point,NA,371100
10/23/2022,2 wk ahead inc case,11/5/2022,US,point,NA,444854
10/23/2022,3 wk ahead inc case,11/12/2022,US,point,NA,445049
10/23/2022,4 wk ahead inc case,11/19/2022,US,point,NA,423520
10/23/2022,5 wk ahead inc case,11/26/2022,US,point,NA,392537
10/23/2022,6 wk ahead inc case,12/3/2022,US,point,NA,355490
10/23/2022,7 wk ahead inc case,12/10/2022,US,point,NA,325840
10/23/2022,8 wk ahead inc case,12/17/2022,US,point,NA,302389
