forecast_date,target,target_end_date,location,type,quantile,value
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.025,699559.8
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.025,676881.9
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.025,618545.2
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.025,551860.4
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.025,486583.6
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.025,429620.7
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.025,381387.2
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.025,349811.9
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.1,769675
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.1,772784.1
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.1,726455.2
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.1,661900.2
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.1,599433.2
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.1,542025.6
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.1,491310.3
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.1,456254.8
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.25,846340.9
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.25,882101.6
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.25,839819.6
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.25,787142.5
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.25,732544
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.25,674556.4
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.25,623257.8
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.25,573470.9
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.5,908115.7
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.5,975089.3
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.5,946577.1
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.5,887207.7
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.5,823941.4
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.5,756305.1
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.5,697636.4
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.5,616102.9
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.75,984677.6
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.75,1123275
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.75,1099670
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.75,1053918
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.75,985227.2
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.75,909339.3
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.75,842726.6
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.75,777729.7
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.9,1108115
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.9,1188522
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.9,1173628
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.9,1134235
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.9,1077847
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.9,1012987
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.9,951530.5
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.9,878457.4
8/8/2021,1 wk ahead inc case,8/14/2021,US,quantile,0.975,1180618
8/8/2021,2 wk ahead inc case,8/21/2021,US,quantile,0.975,1246814
8/8/2021,3 wk ahead inc case,8/28/2021,US,quantile,0.975,1203971
8/8/2021,4 wk ahead inc case,9/4/2021,US,quantile,0.975,1134771
8/8/2021,5 wk ahead inc case,9/11/2021,US,quantile,0.975,1089648
8/8/2021,6 wk ahead inc case,9/18/2021,US,quantile,0.975,1026123
8/8/2021,7 wk ahead inc case,9/25/2021,US,quantile,0.975,972062.9
8/8/2021,8 wk ahead inc case,10/2/2021,US,quantile,0.975,907356.1
8/8/2021,1 wk ahead inc case,8/14/2021,US,point,NA,928157.4
8/8/2021,2 wk ahead inc case,8/21/2021,US,point,NA,980781.1
8/8/2021,3 wk ahead inc case,8/28/2021,US,point,NA,944095.1
8/8/2021,4 wk ahead inc case,9/4/2021,US,point,NA,887290.7
8/8/2021,5 wk ahead inc case,9/11/2021,US,point,NA,827889.2
8/8/2021,6 wk ahead inc case,9/18/2021,US,point,NA,764422.5
8/8/2021,7 wk ahead inc case,9/25/2021,US,point,NA,708558.8
8/8/2021,8 wk ahead inc case,10/2/2021,US,point,NA,651311.9
