forecast_date,target,target_end_date,location,type,quantile,value
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.025,492293
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.025,495310
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.025,469040
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.025,153608
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.025,0
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.025,0
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.025,0
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.025,0
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.1,532439
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.1,554650
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.1,532216
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.1,295559
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.1,148325
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.1,63778
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.1,15334
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.1,0
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.25,601196
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.25,660054
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.25,603286
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.25,565377
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.25,523651
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.25,457779
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.25,396168
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.25,331780
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.5,746821
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.5,821237
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.5,703058
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.5,638321
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.5,554992
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.5,498293
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.5,445045
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.5,396618
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.75,774793
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.75,887570
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.75,813950
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.75,757937
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.75,699454
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.75,643650
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.75,583985
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.75,522875
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.9,1368332
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.9,1302480
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.9,1058316
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.9,995602
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.9,927514
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.9,855719
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.9,783718
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.9,725784
9/11/2022,1 wk ahead inc case,9/17/2022,US,quantile,0.975,1748884
9/11/2022,2 wk ahead inc case,9/24/2022,US,quantile,0.975,1349040
9/11/2022,3 wk ahead inc case,10/1/2022,US,quantile,0.975,1222480
9/11/2022,4 wk ahead inc case,10/8/2022,US,quantile,0.975,1132100
9/11/2022,5 wk ahead inc case,10/15/2022,US,quantile,0.975,1044454
9/11/2022,6 wk ahead inc case,10/22/2022,US,quantile,0.975,955909
9/11/2022,7 wk ahead inc case,10/29/2022,US,quantile,0.975,868892
9/11/2022,8 wk ahead inc case,11/5/2022,US,quantile,0.975,783988
9/11/2022,1 wk ahead inc case,9/17/2022,US,point,NA,894965
9/11/2022,2 wk ahead inc case,9/24/2022,US,point,NA,867192
9/11/2022,3 wk ahead inc case,10/1/2022,US,point,NA,771764
9/11/2022,4 wk ahead inc case,10/8/2022,US,point,NA,648358
9/11/2022,5 wk ahead inc case,10/15/2022,US,point,NA,542008
9/11/2022,6 wk ahead inc case,10/22/2022,US,point,NA,461695
9/11/2022,7 wk ahead inc case,10/29/2022,US,point,NA,397622
9/11/2022,8 wk ahead inc case,11/5/2022,US,point,NA,326036
