forecast_date,target,target_end_date,location,type,quantile,value
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.025,430297
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.025,383939
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.025,339205
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.025,305409
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.025,273930
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.025,244984
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.025,218883
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.025,194963
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.1,431495
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.1,388596
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.1,348916
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.1,315026
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.1,283805
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.1,255827
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.1,230418
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.1,202671
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.25,433751
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.25,391255
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.25,353820
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.25,319937
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.25,289169
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.25,262185
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.25,236309
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.25,215476
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.5,436051
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.5,394007
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.5,357643
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.5,325010
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.5,295731
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.5,269116
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.5,243657
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.5,221937
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.75,438846
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.75,398697
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.75,364571
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.75,332791
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.75,302929
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.75,275669
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.75,250624
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.75,229922
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.9,440576
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.9,401950
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.9,367445
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.9,336481
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.9,306988
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.9,280700
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.9,256625
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.9,240660
2/21/2021,1 wk ahead inc case,2/27/2021,US,quantile,0.975,443880
2/21/2021,2 wk ahead inc case,3/6/2021,US,quantile,0.975,407754
2/21/2021,3 wk ahead inc case,3/13/2021,US,quantile,0.975,375547
2/21/2021,4 wk ahead inc case,3/20/2021,US,quantile,0.975,345303
2/21/2021,5 wk ahead inc case,3/27/2021,US,quantile,0.975,315747
2/21/2021,6 wk ahead inc case,4/3/2021,US,quantile,0.975,289988
2/21/2021,7 wk ahead inc case,4/10/2021,US,quantile,0.975,265752
2/21/2021,8 wk ahead inc case,4/17/2021,US,quantile,0.975,248764
2/21/2021,1 wk ahead inc case,2/27/2021,US,point,NA,436414
2/21/2021,2 wk ahead inc case,3/6/2021,US,point,NA,395171
2/21/2021,3 wk ahead inc case,3/13/2021,US,point,NA,358164
2/21/2021,4 wk ahead inc case,3/20/2021,US,point,NA,325708
2/21/2021,5 wk ahead inc case,3/27/2021,US,point,NA,295471
2/21/2021,6 wk ahead inc case,4/3/2021,US,point,NA,268353
2/21/2021,7 wk ahead inc case,4/10/2021,US,point,NA,243181
2/21/2021,8 wk ahead inc case,4/17/2021,US,point,NA,222056
