forecast_date,target,target_end_date,location,type,quantile,value
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.025,489707
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.025,402497
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.025,341401
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.025,300106
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.025,262553
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.025,232307
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.025,204618
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.025,198819
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.1,515054
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.1,436244
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.1,379982
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.1,339714
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.1,302860
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.1,273008
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.1,245072
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.1,239851
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.25,569627
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.25,517350
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.25,462457
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.25,416777
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.25,374887
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.25,342096
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.25,312496
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.25,300825
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.5,593990
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.5,538727
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.5,489126
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.5,449105
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.5,411956
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.5,380674
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.5,352801
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.5,344405
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.75,689730
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.75,762677
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.75,774691
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.75,754645
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.75,708569
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.75,635184
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.75,566295
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.75,500388
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.9,844358
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.9,896697
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.9,863805
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.9,803930
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.9,747557
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.9,708808
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.9,666571
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.9,629028
8/21/2022,1 wk ahead inc case,8/27/2022,US,quantile,0.975,867407
8/21/2022,2 wk ahead inc case,9/3/2022,US,quantile,0.975,914067
8/21/2022,3 wk ahead inc case,9/10/2022,US,quantile,0.975,872681
8/21/2022,4 wk ahead inc case,9/17/2022,US,quantile,0.975,815096
8/21/2022,5 wk ahead inc case,9/24/2022,US,quantile,0.975,766200
8/21/2022,6 wk ahead inc case,10/1/2022,US,quantile,0.975,717255
8/21/2022,7 wk ahead inc case,10/8/2022,US,quantile,0.975,667292
8/21/2022,8 wk ahead inc case,10/15/2022,US,quantile,0.975,635922
8/21/2022,1 wk ahead inc case,8/27/2022,US,point,NA,652839
8/21/2022,2 wk ahead inc case,9/3/2022,US,point,NA,638323
8/21/2022,3 wk ahead inc case,9/10/2022,US,point,NA,597735
8/21/2022,4 wk ahead inc case,9/17/2022,US,point,NA,554196
8/21/2022,5 wk ahead inc case,9/24/2022,US,point,NA,510655
8/21/2022,6 wk ahead inc case,10/1/2022,US,point,NA,469905
8/21/2022,7 wk ahead inc case,10/8/2022,US,point,NA,430735
8/21/2022,8 wk ahead inc case,10/15/2022,US,point,NA,407034
